InvoiceNo,StockCode,ProductName,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,TotalPrice,DiscountAmount,PriceAfterDiscount,Revenue,EstimatedCost,Profit,ProfitMargin,InvoiceYear
221958,Sku_1964,White Mug,38,2020-01-01,1.71,37039.0,Australia,0.47,Bank Transfer,10.79,Home & Kitchen,In-Store,Not Returned,Ups,London,Medium,64.98,30.5406,34.439400000000006,45.229400000000005,38.988,6.241400000000006,13.8,2020
771155,Sku_1241,White Mug,18,2020-01-01,41.25,19144.0,Spain,0.19,Paypall,9.51,Home & Kitchen,Online,Not Returned,Ups,Rome,Medium,742.5,141.075,601.425,610.935,445.5,165.43499999999995,27.08,2020
231932,Sku_1501,Headphones,49,2020-01-01,29.11,50472.0,Germany,0.35,Bank Transfer,23.03,Electronics,Online,Returned,Ups,Berlin,High,1426.3899999999999,499.2364999999999,927.1534999999999,950.1834999999999,855.8339999999998,94.34950000000003,9.93,2020
465838,Sku_1760,Desk Lamp,14,2020-01-01,76.68,96586.0,Netherlands,0.14,Paypall,11.08,Furniture,Online,Not Returned,Royal Mail,Rome,Low,1073.52,150.2928,923.2272,934.3072000000001,644.1120000000001,290.1952,31.06,2020
744167,Sku_1006,Office Chair,47,2020-01-01,70.16,53887.0,Sweden,0.48,Credit Card,13.98,Furniture,Online,Not Returned,Dhl,London,Medium,3297.52,1582.8096,1714.7104,1728.6904,1978.512,-249.8216,-14.45,2020
210268,Sku_1087,Usb Cable,25,2020-01-01,85.74,46567.0,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,Fedex,Amsterdam,High,2143.5,321.525,1821.975,1834.895,1286.1,548.7950000000001,29.91,2020
832180,Sku_1597,Notebook,8,2020-01-01,95.65,75098.0,Norway,0.04,Bank Transfer,6.48,Stationery,In-Store,Not Returned,Royal Mail,Amsterdam,Low,765.2,30.608000000000004,734.5920000000001,741.0720000000001,459.12,281.9520000000001,38.05,2020
154886,Sku_1907,Wireless Mouse,19,2020-01-01,98.19,87950.0,Belgium,0.05,Paypall,12.56,Electronics,Online,Not Returned,Ups,Berlin,High,1865.61,93.2805,1772.3294999999998,1784.8894999999998,1119.366,665.5234999999998,37.29,2020
237337,Sku_1866,Headphones,40,2020-01-01,98.17,39718.0,Italy,0.16,Bank Transfer,7.71,Electronics,Online,Not Returned,Royal Mail,London,Low,3926.8,628.288,3298.512,3306.222,2356.08,950.1420000000003,28.74,2020
621430,Sku_1144,Notebook,49,2020-01-01,87.56,13030.0,United Kingdom,0.19,Paypall,9.83,Stationery,In-Store,Returned,Ups,Paris,Medium,4290.4400000000005,815.1836000000001,3475.2564,3485.0864,2574.264,910.8224,26.13,2020
